"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.676251490E-1,-1.359123230E0,-4.325026870E-1,1.228056431E1,1.236311184E1
5.696968340E-1,-1.330409408E0,-4.229314029E-1,1.228056431E1,1.235965695E1
5.717677070E-1,-1.287338614E0,-4.037888348E-1,1.225603771E1,1.233007488E1
5.738454750E-1,-1.277767301E0,-4.037888348E-1,1.224168110E1,1.231480779E1
5.759199180E-1,-1.249651670E0,-3.894318938E-1,1.222194004E1,1.229183082E1
5.779941270E-1,-1.235294700E0,-3.846462369E-1,1.218844032E1,1.225691573E1
5.800675520E-1,-1.211964726E0,-3.750749528E-1,1.216929817E1,1.223525062E1
5.821415980E-1,-1.202393413E0,-3.559323549E-1,1.215015507E1,1.221469222E1
5.842164070E-1,-1.183848977E0,-3.463610709E-1,1.211186981E1,1.217451661E1
5.862913380E-1,-1.169492126E0,-3.314059377E-1,1.209212875E1,1.215307037E1
5.883645490E-1,-1.150947690E0,-3.170489967E-1,1.205862999E1,1.211758053E1
5.904390330E-1,-1.136590719E0,-3.122633696E-1,1.202991581E1,1.208752337E1
5.925159770E-1,-1.141376376E0,-3.074777126E-1,1.202991581E1,1.208785163E1
5.945962490E-1,-1.136590719E0,-3.026920557E-1,1.202513027E1,1.208251708E1
5.966613640E-1,-1.117448211E0,-2.739782035E-1,1.202991581E1,1.208480984E1
5.987315130E-1,-1.112662554E0,-2.835494876E-1,1.202991581E1,1.208458906E1
6.007974920E-1,-1.112662554E0,-2.739782035E-1,1.202931786E1,1.208377301E1
6.028850880E-1,-1.107876897E0,-2.787638307E-1,1.202453232E1,1.207867865E1
6.049586460E-1,-1.093519926E0,-2.979064286E-1,1.203410339E1,1.208735614E1
6.070355910E-1,-1.078564763E0,-2.883351147E-1,1.205803108E1,1.210960580E1
6.091076730E-1,-1.073779106E0,-3.266202807E-1,1.207238865E1,1.212444844E1
6.111811690E-1,-1.073779106E0,-3.415754437E-1,1.208674526E1,1.213915509E1
6.132550020E-1,-1.064207911E0,-3.655036688E-1,1.207717419E1,1.212947929E1
6.153282750E-1,-1.068993568E0,-4.037888348E-1,1.209153080E1,1.214540694E1
6.174044670E-1,-1.064207911E0,-4.181457460E-1,1.208195972E1,1.213594393E1
6.194801300E-1,-1.049850941E0,-4.660021961E-1,1.210110188E1,1.215549306E1
6.215527520E-1,-1.049850941E0,-5.090730190E-1,1.208255768E1,1.213876198E1
6.236266760E-1,-1.040877819E0,-5.234299302E-1,1.207777214E1,1.213383638E1
6.256986460E-1,-1.045065284E0,-5.473581553E-1,1.208255768E1,1.214001493E1
6.277645550E-1,-1.031306505E0,-5.808576941E-1,1.205384445E1,1.211181881E1
6.298492100E-1,-1.022333503E0,-6.095715761E-1,1.202991581E1,1.208865657E1
6.319231340E-1,-1.007976532E0,-6.478567123E-1,1.199641609E1,1.205610775E1
6.340003440E-1,-9.984052777E-1,-6.717849374E-1,1.198684502E1,1.204709764E1
6.360749090E-1,-9.702895880E-1,-6.813562512E-1,1.196291637E1,1.202152554E1
6.381544260E-1,-9.469595551E-1,-6.951149702E-1,1.191984558E1,1.197758890E1
6.402206600E-1,-9.278169870E-1,-6.999006271E-1,1.189113235E1,1.194779201E1
6.422953270E-1,-9.092726111E-1,-6.951149702E-1,1.186720371E1,1.192226847E1
6.443666880E-1,-8.907282352E-1,-6.999006271E-1,1.182413292E1,1.187827332E1
6.464429820E-1,-8.380861282E-1,-6.616154313E-1,1.179960632E1,1.184781975E1
6.485170360E-1,-7.950153351E-1,-6.424728632E-1,1.177986622E1,1.182413079E1
6.505918860E-1,-7.758727670E-1,-6.233302951E-1,1.177029419E1,1.181229633E1
6.526667160E-1,-7.375875711E-1,-5.946164131E-1,1.175533962E1,1.179345640E1
6.547399380E-1,-7.088736892E-1,-5.467599630E-1,1.177866936E1,1.181264154E1
6.568135660E-1,-6.753742099E-1,-4.797609448E-1,1.176850033E1,1.179762268E1
